source_id,source_name,lat,lon,total_co2_emissions_2024,source,year
452,SIPAT STPS,22.13,82.293,19865158,Central Electricity Authority,Nov-25
455,SOLAPUR STPP,31.7537,77.246,5884279,Central Electricity Authority,Nov-25
459,SOUTHERN REPL.,22.5488,88.2926,474246,Central Electricity Authority,Nov-25
464,STERLITE TPP,21.8144,84.0404,2265269,Central Electricity Authority,Nov-25
466,SUGEN CCCP,21.3395,72.9889,1251571,Central Electricity Authority,Nov-25
468,SURAT LIG.,21.397,73.106,3418559,Central Electricity Authority,Nov-25
469,SURATGARH,29.179,74.0202,13136823,Central Electricity Authority,Nov-25
472,SVPL,22.2915,82.5257,483498,Central Electricity Authority,Nov-25
477,TALCHER STPS,21.0966,85.074,19123180,Central Electricity Authority,Nov-25
478,TALWANDI SABO,29.924,75.2372,9276654,Central Electricity Authority,Nov-25
479,TAMNAR TPP,22.0987,83.4513,16383683,Central Electricity Authority,Nov-25
481,TANDA,26.586,82.602,9721603,Central Electricity Authority,Nov-25
492,TENUGHAT,23.7573,85.8936,2197007,Central Electricity Authority,Nov-25
493,THAMMINAPATNAM TPP,14.2133,80.0838,304949,Central Electricity Authority,Nov-25
497,TIRORA TPP,21.4129,79.9671,18744810,Central Electricity Authority,Nov-25
499,TORANGALLU EXT,15.1839,76.6622,2360661,Central Electricity Authority,Nov-25
500,TORANGALLU IMP,15.1839,76.6622,1312155,Central Electricity Authority,Nov-25
501,TORR POWER SAB.,23.0701,72.5933,2330654,Central Electricity Authority,Nov-25
503,TROMBAY GT,19.0018,72.8967,601001,Central Electricity Authority,Nov-25
504,TROMBAY_Coal,19.0004,72.8983,2765167,Central Electricity Authority,Nov-25
507,TUTICORIN,8.7635,78.1753,5872752,Central Electricity Authority,Nov-25
509,TUTICORIN JV,8.7603,78.1699,5056729,Central Electricity Authority,Nov-25
510,TUTICORIN JV  Stage-IV,8.75531057,78.15803095,2614247,Central Electricity Authority,Nov-25
513,UCHPINDA TPP,21.8858,83.1215,7325048,Central Electricity Authority,Nov-25
514,UDUPI TPP,13.1596,74.8002,4502929,Central Electricity Authority,Nov-25
517,UKAI_Coal,21.2093,73.5574,5288919,Central Electricity Authority,Nov-25
521,UNCHAHAR,25.9131,81.3274,9551800,Central Electricity Authority,Nov-25
522,UNO SUGEN,21.3411,72.9895,246248,Central Electricity Authority,Nov-25
527,URAN GT,18.88,72.9715,1092409,Central Electricity Authority,Nov-25
531,UTRAN CCCP EXT,21.2285,72.8705,127414,Central Electricity Authority,Nov-25
533,UTRAULA TPP,27.3455,82.3166,406567,Central Electricity Authority,Nov-25
537,VALLUR ntpc/ntecl,13.2371,80.3023,7898904,Central Electricity Authority,Nov-25
538,VALUTHUR GT,9.3484,78.9235,439469,Central Electricity Authority,Nov-25
542,VIJAYWADA,16.5984,80.537,13920220,Central Electricity Authority,Nov-25
544,VINDH_CHAL STPS,24.0983,82.6719,32996108,Central Electricity Authority,Nov-25
547,VIZAG TPP,17.5635,83.1382,3617447,Central Electricity Authority,Nov-25
548,WANAKBORI,22.8725,73.3588,10601092,Central Electricity Authority,Nov-25
549,WARDHA WARORA(Sai Wardha Power),20.2727,78.9792,3723115,Central Electricity Authority,Nov-25
552,YAMUNANAGAR TPP,30.1081,77.3257,2926725,Central Electricity Authority,Nov-25
554,YERMARUS TPP,16.2949,77.3568,5173693,Central Electricity Authority,Nov-25
556,JAWAHARPUR STPP,27.497098,78.826071,1871426,Central Electricity Authority,Nov-25
558,NORTH KARANPURA,23.850772,85.012411,8703416,Central Electricity Authority,Nov-25
559,OBRA-C STPP,24.4445803,82.9803325,2287261,Central Electricity Authority,Nov-25
560,SHREE CEMENT,26.073889,74.385,1273202,Central Electricity Authority,Nov-25
564,TELANGANA STPP,18.75146,79.471916,8384675,Central Electricity Authority,Nov-25
567,OPG POWER GENERATION PRIVATE,13.437422,80.09788,2427370,Central Electricity Authority,Nov-25
569,YADADRI TPS,16.708219,79.581184,492634,Central Electricity Authority,Nov-25
570,GHATAMPUR TPP,25.975,80.1889,884777,Central Electricity Authority,Nov-25
571,KHURJA STPP,28.158333,77.908333,717110,Central Electricity Authority,Nov-25
572,Maadurga Thermal Power Company Ltd.,20.57622,86.020728,272965,Central Electricity Authority,Nov-25
573,YELHANKA CCPP,13.117556,77.581875,117086,Central Electricity Authority,Nov-25
